index,sic3,yr,ldsal,lemp,ldnpt,ldrst,ldrnd,ldinv,Wage
1,374,73,7.0189581,2.5109799,7.0453739,3.7508969,2.03022,4.9894361,18.375
1,374,78,7.0939431,2.6710401,7.1858439,3.79655,2.042284,4.9034271,21.875
1,374,83,6.4082022,2.0064681,7.4538999,3.9249201,2.0334029,3.8275349,23.625
2,366,78,3.526278,-.052346501,2.4056001,2.6158309,1.125036,.63317531,21.875
2,366,83,4.373662,.64080071,3.4784031,3.226959,1.77073,1.9153661,23.625
2,366,88,5.195838,.51879382,3.461868,3.9981201,2.8221259,2.5899999,28.875
3,358,78,3.80885,-.54300457,1.728083,.7460739,-1.056873,-.74837601,21.875
3,358,83,3.8511529,-.47803581,2.6963849,1.327111,.26521569,.725182,23.625
4,381,73,4.2507629,.2102609,3.03931,2.7533629,.81257099,2.16101,18.375
4,381,78,4.4541192,.3300229,3.3217559,2.4251781,.36646289,2.0456691,21.875
4,381,83,4.1962218,.27611539,3.1630211,2.0264299,-.1117551,.85612369,23.625
5,321,73,4.8195658,1.101608,5.1220269,1.215614,-.52571422,2.8504341,18.375
6,283,88,5.4034858,.53062832,4.130784,2.453943,1.686399,2.95842,28.875
7,394,73,7.5486178,3.5025499,6.351656,5.4706521,3.9479699,4.818399,18.375
7,394,78,7.525074,3.3519721,6.353199,5.3202052,3.486773,4.589829,21.875
7,394,83,6.9192448,2.9305539,6.4097009,5.3444948,3.439271,4.044888,23.625
8,355,73,7.3075609,3.1570001,5.6767278,4.4641042,2.431797,4.5586982,18.375
8,355,78,7.048522,2.9177711,5.614881,4.3181319,2.59354,3.8259771,21.875
8,355,83,6.4704409,1.894617,4.9052901,4.539299,1.737442,2.565341,23.625
8,355,88,6.6720819,2.0200901,5.2577438,4.5206451,2.515044,2.5724039,28.875
9,357,88,6.1723099,.8073684,2.4699609,3.3665869,2.7188129,2.651212,28.875
10,349,78,2.5815921,-1.374366,-.62117362,-.80868691,-3.235405,-1.825147,21.875
10,349,83,3.590863,-.72360629,2.127238,-.5514797,-1.356375,.63503093,23.625
10,349,88,4.4171991,.26236421,3.0519991,.63559479,-1.286165,2.0427859,28.875
11,367,78,4.3023601,1.196041,3.4278541,2.130758,.76049942,2.87027,21.875
11,367,83,5.0869708,1.686399,4.540987,3.076247,1.89261,3.052532,23.625
12,352,73,5.7599778,.61518568,4.1538301,1.2078201,-.1657114,3.034786,18.375
12,352,78,5.1002622,.23111171,3.9827459,2.045912,.48424599,1.725162,21.875
13,283,73,7.3724208,3.0596459,6.6550379,6.061203,4.4930539,4.4772239,18.375
13,283,78,7.8795819,3.295948,6.775311,6.3587508,4.827487,4.833066,21.875
13,283,83,8.1772518,3.5359609,7.2320881,6.6192532,5.3354859,5.7595792,23.625
13,283,88,8.4421244,3.657156,7.5051961,7.2173438,6.085104,6.2285109,28.875
14,262,88,7.8190031,2.7850111,7.3155322,3.6450069,1.964101,5.0261631,28.875
15,382,78,4.858079,.66268802,3.5953889,4.109828,2.1950359,.86295301,21.875
15,382,83,4.7937551,.57097948,3.482476,4.0770268,2.164834,.63395208,23.625
16,280,73,4.1331978,-1.6094379,1.990285,.95112509,-1.218861,-.73107839,18.375
16,280,78,4.6745501,-1.537117,1.660925,.89442062,-.78583789,-.0074907001,21.875
16,280,83,4.5199952,-1.742969,1.748093,.75869048,-1.48183,-1.154037,23.625
16,280,88,4.5689101,-1.742969,1.765643,.61973989,-1.282674,-.33959001,28.875
17,354,73,5.818182,1.714518,4.644773,2.5067041,1.1317199,2.5230451,18.375
17,354,78,6.1186652,1.745366,4.8126211,2.8790491,1.385064,2.5983679,21.875
17,354,83,5.2271819,.95551139,5.124599,3.1396799,1.3646899,2.2711711,23.625
17,354,88,5.1503439,.92147732,4.2446942,2.825989,.33922899,1.730588,28.875
18,362,83,3.954639,-.0080321999,2.7098119,3.2682049,1.446058,1.097255,23.625
18,362,88,4.3781662,0,2.883158,3.3727479,1.691752,.77169222,28.875
19,342,78,4.1096401,-.52763277,2.4250669,1.026559,-.050430901,.58695722,21.875
19,342,83,4.0505228,-.53614348,2.7129891,1.615469,.070566401,-.1221159,23.625
20,342,78,3.6875551,.054488201,2.14147,.2170397,-2.1093941,.045230102,21.875
20,342,83,3.8348701,-.2231435,2.129055,.28345221,-.92646611,-.2351687,23.625
20,342,88,3.582248,-.46521509,1.993137,.71345639,-1.5439939,-.31663141,28.875
21,384,88,5.0602341,-.1519863,2.7224081,3.476074,2.8320761,2.787853,28.875
22,384,83,4.4226551,.0099502997,2.083503,2.7819819,2.2049439,2.098835,23.625
23,331,78,2.326237,-1.851509,.080272302,2.0746839,.072701901,-.97784859,21.875
23,331,83,3.910233,-.52763277,2.1052999,2.481843,1.815107,1.286907,23.625
24,367,88,4.162714,-.69916523,1.266016,3.1156831,1.935086,1.407469,28.875
25,365,78,3.655957,-.92634112,1.348655,2.238683,.84846812,-.0303054,21.875
